ACRONYM,AGENCYNAME,DATASETNAME,DATAOWNER,DATASETCATEGORYNAME,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETTYPENAME,EARLIESTDATEOFRECORDS,EDI_ID,PUBLICINTERESTNAME,KEYWORDS,UPDATEINTERVALNAME,OPENDATA_PORTAL
OAG,Office of the Attorney General,Labor and Employment Matters,Office of the Attorney General,Government Operations,Level 4,FOIA Exemption in D.C. Code § 2-534(a)(4)  applies to this dataset. It contains privileged internal memorandum related to ongoing litigation. Release of ongoing litigation information could significantly impair the ability of the agency to perform its statutory functions.,Database,,2509,Frequent Requests,government operations,Real-Time/Near Real-Time,False
OAG,Office of the Attorney General,Probate,Office of the Attorney General,Government Operations,Level 4,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543(a)(4) - Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,,2510,Unknown,government operations,Real-Time/Near Real-Time,False
OAG,Office of the Attorney General,Neighborhood Services Matters,Office of the Attorney General,Public Services,Level 4,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,,2511,Unknown,public service,Real-Time/Near Real-Time,False
OAG,Office of the Attorney General,Affirmative Civil Litigation Matters,Office of the Attorney General,Government Operations,Level 4,"FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records, release of information may prevent impartial adjudication.",Database,,2512,Unknown,government operations,Real-Time/Near Real-Time,False
OAG,Office of the Attorney General,Affirmative Intellectual Disability Civil Litigation Matters,Office of the Attorney General,Government Operations,Level 4,FOIA Exemption 2-534(a)(4) - Litigation privileges. Mental Health evaluations protected by Health Insurance Portability and Accountability Act of 1996 (HIPPA).,Database,,2513,Unknown,government operations,Real-Time/Near Real-Time,False
OAG,Office of the Attorney General,Real Estate,Office of the Attorney General,Planning Land Use and Zoning,Level 4,FOIA Exemption  2-543-(a)(4) Contains privileged internal memorandum related to litigation. For internal use only.,Database,,2514,No Info,planningCadastre,Daily,False
OAG,Office of the Attorney General,Legislation and Rulemaking,Office of the Attorney General,Government Operations,Level 4,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,,2860,Unknown,government operations,Static,False
OAG,Office of the Attorney General,Administrative Litigation Matters,Office of the Attorney General,Government Operations,Level 4,FOIA Exemptions 2-534 (a)(3) - Contains records of ongoing Investigatory Records and Personal Information and 2-543-(a)(4) Contains privileged internal memorandum related to litigation. Release could significantly impair the ability of the agency to perform its statutory functions.,Database,,2861,Unknown,government operations,Daily,False
OCFO,Office of the Chief Financial Officer,Account Reconciliation Dataset,OFOS,Financial,Level 4,"Dataset contains all Checks and Bank ABA information, which is considered Personally Identifiable Information (PII). The ABA and bank information could be used to identify a business, person, or entity. Unauthorized disclosure could potentially cause major damage or injury, to residents, agency workforce members, clients, partners, stakeholders, or others identified in the information andit would significantly impair the ability of the agency to perform its statutory functions.",Other,,2493,No Info,,Daily,False
OCFO,Office of the Chief Financial Officer,Districts Checks Disbursed,OFOS-OFT,Financial,Level 4,"Dataset contains Checks ABA and Bank information,  which is considered Personally Identifiable Information (PII). The ABA and bank information could be used to identify a business, person, or entity.  Unauthorized disclosure could potentially cause major damage or injury, to residents, agency workforce members, clients, partners, stakeholders, or others identified in the information and it would significantly impair the ability of the agency to perform its statutory functions.",Other,,2925,No Info,,Daily,False
OCTO,Office of the Chief Technology Officer,Security Information and Event Management (SIEM) Data,OCTO-CWITS,Technology,Level 4,SIEM Data contains IT Critical Infrastructure information and could be used to potentially gain access to systems that contain Level 4 data.,Other,00:00.0,2527,Occasional Requests,"technology, IT, InfoSec, security, cyber",Real-Time/Near Real-Time,False
OCTO,Office of the Chief Technology Officer,"Governance, Risk and Compliance (GRC)",OCTO - CWITS,Technology,Level 4,GRC data contains IT Critical Infrastructure information and could be used to potentially gain access to systems that contain Level 4 data.,Database,00:00.0,2536,Occasional Requests,"technology, IT, InfoSec, security, cyber, risk, compliance",Real-Time/Near Real-Time,False
OCTO,Office of the Chief Technology Officer,nLyte ,OCTO DC-Net,Facility and Structure,Level 4,"This dataset may contain location information about Critical Infrastructure locations like, DC Power plants and other secure facilities. Unauthorized disclosure of details could potentially cause major damage or injury to the district or significantly impair the ability of the agency  to perform its statutory function.",Database,00:00.0,2599,No Requests,structure,Daily,False
OCTO,Office of the Chief Technology Officer,DC Net System Log,OCTO - NOC,Technology,Level 4,"IT Critical Infrastructure that contains information, unauthorized disclosure could potentially cause major damage.",Text,,2601,No Requests,technology,Real-Time/Near Real-Time,False
OCTO,Office of the Chief Technology Officer,Telecommunications Request and Approval Tracking,OCTO-Telecom,Government Operations,Level 4,"The request include critical infrastructure information about building network infrastructure changes, names of DC Government staff who are traveling and travel dates/locations, equipment orders, etc.",Database,00:00.0,2250,Frequent Requests,government operations,Real-Time/Near Real-Time,False
OTA,Office of the Tenant Advocate,IQ Intake,OTA,Communication,Level 4,"This data is 'Restricted Confidential' because it contain Contains personally identifiable information (PII) information about clients related to tenant issues. disclosure could potentially cause major damage or injury, including death, to residents, agency workforce members, clients, partners, stakeholders, or others identified in the information, or otherwise significantly impair the ability of the agency to perform its statutory functions.",Unknown,,2356,Unknown,"Correspondence, IQ, OTA, Housing, Tenant, Apartment, Rental, Legal Advice",Real-Time/Near Real-Time,False
OUC,Office of Unified Communications,Radio Provisioning Manager - Radio,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,2360,No Info,"utilities, Communication, public safety, radio, OUC, ASTRO, Motorola",Daily,False
OUC,Office of Unified Communications,EDX Signal Pro,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. D.C. Code § 2-534(a)(3)(F) & (a)(15).,Other,00:00.0,2270,No Info,"utilitiesCommunication, public safety, radio, OUC",Weekly,False
OUC,Office of Unified Communications,Key Management Facility (KMF),Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,2273,No Info,"utilitiesCommunication, public safety, radio, OUC",Weekly,False
OUC,Office of Unified Communications,MOSCAD - Motorola Supervisory Control and Data Acquisition,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt from public disclosure under  D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,2275,No Info,"utilities, Communication, public safety, radio, ASTRO, OUC, Motorola",Weekly,False
OUC,Office of Unified Communications,Netmotion Mobility VPN,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt pursuant to D.C. Code § 2-534(a)(3)(F) & (a)(15).,Other,00:00.0,2284,No Info,"utilities, Communication, public safety, OUC, VPN",Real-Time/Near Real-Time,False
OUC,Office of Unified Communications,Motorola Unified Network Service,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3196,No Info,"utilities, Communication, public safety, OUC, radio, ASTRO, motorola",Weekly,False
OUC,Office of Unified Communications,Radio Advanced Messaging Service,Office of Unified Communications,Utility and Communication,Level 4,"Critical public safety infrastructure details. Information could jeopardize officer safety. Exempt from disclosure pursuant to D.C. Code § 2-534(a)(3)(F), D.C. Code § 2-534(a)(7) & D.C. § Code 2-534(a)(15).",Database,00:00.0,3197,No Info,"utilities, Communication, public safety, radio, OUC, ASTRO, Motorola, messaging",Weekly,False
OUC,Office of Unified Communications,Radio Unified Event Manager,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3198,No Info,"utilities, Communication, public safety, radio, OUC, ASTRO, Motorola",Daily,False
OUC,Office of Unified Communications,Genesis Performance Management (Radio) - Radio Activity,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3199,No Info,"utilities, Communication, public safety, GEN watch, radio, OUC",Weekly,False
OUC,Office of Unified Communications,Radio Management Server,Office of Unified Communications,Utility and Communication,Level 4,Critical public safety infrastructure details. Information could jeopardize officer safety. Exempt under D.C. Code § 2-534(a)(3)(F) .,Database,00:00.0,3200,No Info,"utilities, Communication, public safety, radio, OUC",Daily,False
OUC,Office of Unified Communications,Radio Unified Network Configurator,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt from disclosure under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3201,No Info,"utilities, Communication, public safety, radio, OUC, ASTRO, Motorola",Daily,False
OUC,Office of Unified Communications,Radio User Configuration Server,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt from disclosure under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3202,No Info,"utilities, Communication, public safety, OUC, radio, ASTRO, Motorola",Daily,False
OUC,Office of Unified Communications,Genesis Performance Management (Radio) - Database Status,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3406,No Info,"utilities, Communication, public safety, GEN watch, radio, OUC",Weekly,False
OUC,Office of Unified Communications,Genesis Performance Management (Radio) - Site Health,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3407,No Info,"utilities, Communication, public safety, GEN watch, radio, OUC",Weekly,False
OUC,Office of Unified Communications,Radio Provisioning Manager - Console,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3408,No Info,"utilities, Communication, public safety, radio, OUC, ASTRO, Motorola",Daily,False
OUC,Office of Unified Communications,Radio Provisioning Manager - User,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3409,No Info,"utilities, Communication, public safety, radio, OUC, ASTRO, Motorola",Daily,False
OUC,Office of Unified Communications,Radio Provisioning Manager - Audit,Office of Unified Communications,Utility and Communication,Level 4,This dataset contains information pertaining to Critical Infrastructure. Unauthorized disclosure could cause major damage or injury. Exempt under D.C. Code § 2-534(a)(3)(F) & (a)(15).,Database,00:00.0,3410,No Info,"utilities, Communication, public safety, radio, OUC, ASTRO, Motorola",Daily,False
DCWATER,DC Water,Automated Meter Replacements,DC Water,Utility and Communication,Level 0,Open,Database,,3510,,"water, utility, meter, ",Weekly,True
DCWATER,DC Water,Capital Improvement Projects,DC Water,Utility and Communication,Level 0,Open,Database,,3511,,"dcwater, capital improvement project, infrastructure, cip",Monthly,True
DCWATER,DC Water,Water Hydrant,DC Water,Utility and Communication,Level 0,Open,Database,,3512,,"dcwater, hydrant",Daily,True
DCWATER,DC Water,DC Water Sanitary Sewer Overflows,DC Water,Utility and Communication,Level 0,Open,Database,,3513,,"dcwater, sewer, sso, overflow, sanitary, ",Weekly,True
DOH,Department of Health,Opioid Dependence Treatment Facilities,DOH,Health and Human Services,Level 0,Open,Database,,3532,,"Clinic, doh, Health, opioid",No Info,True
DHCF,Department of Health Care Finance,State Health Plan,Department of Health Care Finance/HCPRA,Health and Human Services,Level 0,This data set does not contain sensitive nor personally identifiable information and can be shared without restriction,Spreadsheet,00:00.0,1795,Occasional Requests,"government operations,  health, State Health Plan",Monthly,False
DHS,Department of Human Services,Family Services Administration Gift Card Tracking,DHS OIS ASD III,Government Operations,Level 0,None,Database,00:00.0,3488,Occasional Requests,Gift card,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Convictions information,DMV,Transportation,Level 0, ,Database,00:00.0,1754,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,ID Card information,DC DMV,Transportation,Level 0, ,Database,00:00.0,1762,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Driver license information,DC DMV,Transportation,Level 0, ,Database,00:00.0,1763,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Business information,DMV,Transportation,Level 0, ,Database,00:00.0,1765,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Disability placard information,DC DMV,Transportation,Level 0, ,Database,00:00.0,1768,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,DCDMV vehicle inspection data,DC DMV,Transportation,Level 0, ,Database,00:00.0,1770,Unknown,transportation,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Boot & Tow,DC DMV,Public Safety,Level 0, ,Database,00:00.0,3404,Unknown,Public Safety,Unknown,False
DSLBD,Department of Small and Local Business Development,"Business Assistance Resource Information, (non-CBE) Business POC information, (non-CBE) Business information, agency and nonprofit service provider organization information",DSLBD Business Development Division,Business and Economic Development,Level 0,"The Public can access most of the DC Business Toolkit including: all types of resource records, roadmaps, business listing and calendar of events.  There are additional features that the public may access if they are part of a specific user group (DC business, DC resident entrepreneur, agency or nonprofit service provider staff) and they register for a free user account profile. ",Database,00:00.0,3381,Occasional Requests,"DC Businesses, resources, wizards,  toolkit",Weekly,False
DME,Deputy Mayor for Education,Master Facilities Plan Annual Supplement,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,00:00.0,1779,Occasional Requests,Education; Facilities; DCPS; public charter school,Yearly,False
DME,Deputy Mayor for Education,Formerly Closed DCPS Facilities,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,00:00.0,1780,Occasional Requests,Education; Facilities; DCPS; public charter school,Yearly,False
DME,Deputy Mayor for Education,"Number of School Facilities by Ward_Sector, 2013-2017",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3460,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Modernization by School, 2002-2008",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3461,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,Schools Modernized After 2008,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3462,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Facility Condition Index, Schools in District-Owned Facilities SY2017-18",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3463,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Facility Condition Index, Schools in Non-District Owned Facilities SY2017-18",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3464,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Schools with One or More Programs, SY2017-18",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3465,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,Historic Enrollment Share by Sector Since SY2008-09,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3466,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Change in Program Enrollment, SY2014-15 to SY2017-18",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3467,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Programs Offered With Percent Change, SY2014-15 to SY2017-18",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3468,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Programs Offered with Absolute Change, SY2014-15 to SY2017-18",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3469,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"Programs Offered by Ward, SY2014-15 to SY2017-18",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3470,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,Utilization Status SY2017-18,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3471,Occasional Requests,,Yearly,False
DME,Deputy Mayor for Education,FY2019-FY2024 CIP Investment Costs by Project and Year ($US Million),Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3472,Occasional Requests,,Yearly,False
DME,Deputy Mayor for Education,PACE Modernization Prioritization Rankings,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3473,Occasional Requests,,Static,False
DME,Deputy Mayor for Education,"DCPS SY2017-18 Aud Enroll, SY2022-23 and SY2027-28 Proj Enroll by School",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3474,No Requests,,Yearly,False
DME,Deputy Mayor for Education,"DCPS SY2017-18 Aud Enroll, SY2022-23 and SY2027-28 Proj Enroll_GrowthPln",Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3475,No Requests,,Yearly,False
DME,Deputy Mayor for Education,Public Charter School Growth Plans by School,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3476,No Requests,,Static,False
DME,Deputy Mayor for Education,DCPS Gap Analysis,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3477,No Requests,,Yearly,False
DME,Deputy Mayor for Education,PCS Gap Analysis,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3478,No Requests,,Static,False
DME,Deputy Mayor for Education,PCS Gap Analysis - LEA,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3479,No Requests,,Static,False
DME,Deputy Mayor for Education,Gross Square Feet by Facility SY2017-18,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3480,Occasional Requests,,Yearly,False
DME,Deputy Mayor for Education,SY1718_Public School Enrollments per DCPS Boundary,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3481,Occasional Requests,,Yearly,False
DME,Deputy Mayor for Education,SY2016-17 Public School Enrollments per DCPS Boundary,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3482,Occasional Requests,,Yearly,False
DME,Deputy Mayor for Education,SY2016-17 Public School Enrollments by Neighborhood Cluster,Deputy Mayor for Education,Education,Level 0,Available publicly on our website,Spreadsheet,,3483,Occasional Requests,,Yearly,False
DMPED,Deputy Mayor for Planning and Economic Development,Neighborhood Prosperity Fund,DMPED,Business and Economic Development,Level 0,Open,Database,,3523,,"business incentives DMPED mixed use, Economic Development, Economy, Great Streets, Neighborhood Prosperity Fund, NPF",No Info,True
DOEE,District Department of Energy and Environment,Anacostia Waterfront Development ZONE,DOEE,Business and Economic Development,Level 0,Open,Database,,3524,,"anacostia, Anacostia Waterfront Development Zone, AWDZ, business, Combined Sewershed, development, Direct Drain Overland, DOEE, drainage areas, economic, environment, incentive, Sewershed, Subsheds, TMDL, water, Watershed",No Info,True
DOEE,District Department of Energy and Environment,DC Subwatersheds,DOEE,Environment,Level 0,Open,Database,,3525,,"Combined Sewershed, CSO, css, Direct Drain Overland, Direct Drain Sewersheds, doee, drainage areas, environment, MS4, MS4 Sewersheds, Sewershed, Subsheds, subwatershed, tmdl, water, watershed",No Info,True
DOEE,District Department of Energy and Environment,Land Surface Temperature 2014 to 2018,DOEE,Environment,Level 0,Open,Other,,3526,,"environment, surface, temperature, landsat, imagery",Static,True
DOEE,District Department of Energy and Environment,Land Surface Temperature July 2018,DOEE,Environment,Level 0,Open,Other,,3527,,"environment, surface, temperature, landsat, imagery",No Info,True
DOEE,District Department of Energy and Environment,Land Surface Temperature July 2014,DOEE,Environment,Level 0,Open,Other,,3528,,"environment, surface, temperature, landsat, imagery",Static,True
DOEE,District Department of Energy and Environment,Land Surface Temperature July 2015,DOEE,Environment,Level 0,Open,Other,,3529,,"environment, surface, temperature, landsat, imagery",Static,True
DOEE,District Department of Energy and Environment,Land Surface Temperature July 2016,DOEE,Environment,Level 0,Open,Other,,3530,,"environment, surface, temperature, landsat, imagery",Static,True
DOEE,District Department of Energy and Environment,Land Surface Temperature August 2017,DOEE,Environment,Level 0,Open,Other,,3531,,"environment, surface, temperature, landsat, imagery",Static,True
DOEE,District Department of Energy and Environment,List of All Approved Mold Training Providers,DOEE,Environment,Level 0,___,Database,00:00.0,3421,No Info,"mold, environment, doee, remediation, disinfectant, biocide, antimicrobial",Yearly,False
DOEE,District Department of Energy and Environment,DOEE Tips/Complaints,DOEE,Environment,Level 0,___,Database,00:00.0,3414,No Info,"environment, doee, complaint, enforcement, Justice, Air Quality, Coal Tar, Bag, Styrofoam Ban, Lead, Energy Benchmarking, Fisheries and Wildlife, Watershed Protection, Water Quality",Daily,False
DOEE,District Department of Energy and Environment,DOEE Tips/Complaints,DOEE,Environment,Level 0,___,Database,00:00.0,3415,No Info,"environment, doee, complaint, enforcement, Justice, Air Quality, Coal Tar, Bag, Styrofoam Ban, Lead, Energy Benchmarking, Fisheries and Wildlife, Watershed Protection, Water Quality",Daily,False
DOEE,District Department of Energy and Environment,DOEE Tip/Complaint Inspections,DOEE,Environment,Level 0,___,Database,00:00.0,3416,No Info,"environment, doee, complaint, enforcement, Justice, Air Quality, Coal Tar, Bag, Styrofoam Ban, Lead, Energy Benchmarking, Fisheries and Wildlife, Watershed Protection, Water Quality",Daily,False
DOEE,District Department of Energy and Environment,DOEE Tip/complaint Fines,DOEE,Environment,Level 0,___,Database,00:00.0,3418,No Info,"environment, doee, complaint, enforcement, Justice, Air Quality, Coal Tar, Bag, Styrofoam Ban, Lead, Energy Benchmarking, Fisheries and Wildlife, Watershed Protection, Water Quality",Daily,False
DOEE,District Department of Energy and Environment,List of Approved Mold Professionals,DOEE,Environment,Level 0,___,Database,00:00.0,3419,No Info,"mold, environment, doee, remediation, disinfectant, biocide, antimicrobial, license",Daily,False
DDOT,District Department of Transportation,Street Centerlines (SSD - legacy),DDOT,Transportation,Level 0,Publicly available,Database,00:00.0,3099,Frequent Requests,"transportation, ssd, centerline",Yearly,True
DDOT,District Department of Transportation,2010 Traffic Volume,DDOT,Transportation,Level 0,Open,Database,,3514,Frequent Request,"Street, Street Segment, Streetsegment, traffic, traffic volume, transportation, volume, hpms, highway performance management system, aadt, annual average daily traffic",Static,True
DDOT,District Department of Transportation,2011 Traffic Volume,DDOT,Transportation,Level 0,Open,Database,,3515,Frequent Request,"Street, Street Segment, Streetsegment, traffic, traffic volume, transportation, volume, hpms, highway performance management system, aadt, annual average daily traffic",Static,True
DDOT,District Department of Transportation,2012 Traffic Volume,DDOT,Transportation,Level 0,Open,Database,,3516,Frequent Request,"Street, Street Segment, Streetsegment, traffic, traffic volume, transportation, volume, hpms, highway performance management system, aadt, annual average daily traffic",Static,True
DDOT,District Department of Transportation,2013 Traffic Volume,DDOT,Transportation,Level 0,Open,Database,,3517,Frequent Request,"Street, Street Segment, Streetsegment, traffic, traffic volume, transportation, volume, hpms, highway performance management system, aadt, annual average daily traffic",Static,True
DDOT,District Department of Transportation,2014 Traffic Volume,DDOT,Transportation,Level 0,Open,Database,,3518,Frequent Request,"Street, Street Segment, Streetsegment, traffic, traffic volume, transportation, volume, hpms, highway performance management system, aadt, annual average daily traffic",Static,True
DDOT,District Department of Transportation,2015 Traffic Volume,DDOT,Transportation,Level 0,Open,Database,,3519,Frequent Requests,"Street, Street Segment, Streetsegment, traffic, traffic volume, transportation, volume, hpms, highway performance management system, aadt, annual average daily traffic",Static,True
DDOT,District Department of Transportation,2016 Traffic Volume,DDOT,Transportation,Level 0,Open,Database,,3520,Frequent Request,"Street, Street Segment, Streetsegment, traffic, traffic volume, transportation, volume, hpms, highway performance management system, aadt, annual average daily traffic",Static,True
DDOT,District Department of Transportation,Parking Meter Policy,DDOT,Transportation,Level 0,Open,Database,,3521,,"meter, parking, parking meter, parking meter policy, Traffic, transportation",Weekly,True
DDOT,District Department of Transportation,Parking Meter Spaces,DDOT,Transportation,Level 0,Open,Database,,3522,,"meter, parking, parking meter, parking meter space, transportation",Weekly,True
DDOT,District Department of Transportation,Circulator statistics,WMATA,Transportation,Level 0,For public use,Other,,3493,Unknown,"circulator, bus, wmata, ridership, fleet",Quarterly,False
DDOT,District Department of Transportation,DDOT CCTV Cameras,DDOT,Transportation,Level 0,Publicly available,Other,,3494,No Info,"cctv, camera",No Info,False
DDOT,District Department of Transportation,DDOT ProTrack Operations Dashboard,DDOT,Transportation,Level 0,Publicly available,Geographic Information,,3497,Unknown,"protrack, ptp, construction",Daily,False
DDOT,District Department of Transportation,DDOT Snow Areas - Assessment,DDOT,Transportation,Level 0,Publicly available,Geographic Information,00:00.0,3498,,"snow, ddot, areas",No Info,False
DDOT,District Department of Transportation,DDOT Snow Priority Areas and Schools,DDOT,Transportation,Level 0,Publicly available,Geographic Information,,3499,No Info,"snow, school, priority",Unknown,False
DDOT,District Department of Transportation,DDOT Snow QA/QC,DDOT/DPW,Transportation,Level 0,Publicly available,Geographic Information,,3500,No Info,"snow, qa, qc",Yearly,False
DDOT,District Department of Transportation,TARAS (traffic accident data),DDOT/MPD,Public Safety,Level 0,Publicly available,Database,,3508,Unknown,"traffic, accident, taras",Daily,False
DDOT,District Department of Transportation,Roadway Centerlines,DDOT,Transportation,Level 0,Publicly available,Database,00:00.0,3509,Unknown,"centerline, roadway, rh",Daily,True
EOM,Executive Office of the Mayor,Opportunity Zone Program,EOM,Business and Economic Development,Level 0,Open,Database,,3533,,"Census Tracts, DMPED, Opportunity Zone Program, Opportunity Zones, Tax Bill, Tax Incentives, Taxes, US Treasury",No Info,True
EOM,Executive Office of the Mayor,Adopt A Block,OCC,Public Services,Level 0,Open,Database,,3540,,"clean city, adopt-a-block, clean & green",No Info,True
FEMS,Fire and Emergency Medical Services,SharePoint lists,FEMS,Government Operations,Level 0,none,List,00:00.0,3445,No Info,,No Info,False
MPD,Metropolitan Police Department,Felony Arrest Charges in  2016,MPD,Public Safety,Level 0,Open,Database,,3534,,"arrests, crime, criminal, dmpsj, felony, justice, mpd, police, policing",Static,True
MPD,Metropolitan Police Department,Felony Crime Incidents in 2016,MPD,Public Safety,Level 0,Open,Database,,3535,,"arrests, crime, criminal, dmpsj, felony, justice, mpd, police, policing",Static,True
MPD,Metropolitan Police Department,Juvenile Arrest,MPD,Public Safety,Level 0,Open,Database,,3536,,"juvenile arrest, juvenile arrests, mpd, public safety, safety",Static,True
MPD,Metropolitan Police Department,Shot Spotter Gun Shots,MPD,Public Safety,Level 0,Open,Database,,3537,,"gun, gunshot, mpd, public safety, safety, shotspotter, ",No Info,True
MPD,Metropolitan Police Department,Stop and Frisk Field Contact,MPD,Public Safety,Level 0,Open,Database,,3538,,"arrest, crime, force, mpd, officer contact, olice, public safety, safety, stop and frisk, StopFrisk",No Info,True
